3974 0 0    97 59 40  
3941 1690 2640    95 126 183  
3894 1679 0    78 101 96  
3925 1708 2675    65 122 87  
3936 0 0    81 91 36  
0 0 0    75 123 130  
3916 0 0    87 102 35  
3924 0 0    85 98 36  
3926 0 0    88 143 34  
0 0 2651    96 130 175  
3935 0 0    245 119 62  
3932 0 0    111 80 39  
3937 1682 2634    101 84 182  
3917 0 0    74 64 57  
3938 0 0    85 94 39  
3897 0 0    87 114 62  
3930 0 0    77 87 37  
3908 0 0    97 106 40  
3928 1685 2645    149 81 185  
3905 0 0    45 106 43  
3921 0 0    114 128 37  
3938 13121 14511    192 203 40  
3921 0 0    68 80 47  
3957 1688 2620    81 128 174  
3927 1728 2691    96 84 227  
3922 0 0    126 128 38  
3919 0 0    73 91 66  
3876 1658 2670    79 112 39  
3945 0 0    85 117 61  
0 1674 2658    81 80 150  
3936 0 0    176 93 37  
3908 0 0    69 134 40  
3941 0 0    134 236 40  
3934 1713 2666    138 103 89  
3929 1706 2667    89 129 91  
3896 1682 2674    52 107 81  
3902 0 0    82 233 40  
3908 0 0    73 211 35  
3917 1695 0    88 127 106  
3926 0 0    80 98 32  
9655 0 0    218 125 33  
3918 1675 2644    101 115 253  
3934 1692 2750    112 72 149  
3915 0 0    69 136 38  
3926 1699 2666    206 155 171  
0 0 0    87 112 38  
3937 1676 0    90 125 175  
3945 1708 2653    105 125 112  
3942 1712 2660    89 102 90  
3899 0 0    118 96 36  
3939 1696 2646    124 127 185  
3970 1703 2623    77 118 37  
3931 1688 2648    65 164 192  
0 0 0    106 115 139  
3893 0 0    65 106 38  
0 0 0    58 79 61  
3925 0 0    123 122 36  
3901 0 0    89 136 44  
3916 1716 2688    92 131 77  
3932 0 0    121 117 37  
3908 1671 2652    80 118 176  
3934 1696 2656    82 86 102  
3937 1950 2910    102 173 261  
3957 1712 2647    127 258 184  
3890 0 0    86 162 35  
3907 0 0    77 156 36  
3945 0 0    146 72 37  
3917 0 0    118 156 34  
3920 0 0    84 125 34  
3912 1687 0    81 108 111  
3946 0 0    115 71 46  
0 0 0    32 27 38  
3928 1716 2655    85 100 38  
