3927 0 0    60 127 257  
3904 1651 2634    70 95 314  
3942 1699 2647    131 109 136  
3917 1690 2661    72 97 52  
3885 1682 2686    57 146 86  
3922 1693 2660    85 128 85  
3918 1743 2715    143 118 13  
0 1744 0    82 103 44  
3928 1681 0    88 102 159  
3952 1700 2638    129 126 181  
0 0 0    35 25 39  
3908 1746 2727    86 79 162  
3917 0 0    76 125 36  
3924 1704 2664    85 101 125  
3905 1653 2637    53 109 161  
3916 1685 2660    83 128 119  
0 1723 2654    63 115 98  
3917 0 0    63 55 37  
3918 1680 0    92 115 152  
3894 0 0    78 118 41  
3940 1711 2660    96 177 103  
3927 1695 0    243 112 151  
3905 1654 2651    52 130 192  
3900 0 0    74 104 56  
3929 1693 2653    87 122 127  
3879 1651 2659    68 119 126  
3906 0 0    96 97 41  
9821 1685 2653    168 161 199  
3926 0 0    65 89 40  
3898 1679 2669    61 135 152  
0 1732 2636    53 63 217  
3924 1736 2704    85 82 190  
3914 1674 2650    75 73 89  
3909 1705 2685    186 310 121  
3896 1675 2667    60 106 161  
3901 1713 2702    76 131 126  
3881 1641 2649    121 73 95  
0 0 2653    86 105 176  
5109 1707 1467    86 75 268  
3924 1690 2654    106 86 306  
3942 1679 2627    66 75 170  
3927 1676 2636    115 85 165  
3931 1694 2653    156 123 161  
3916 1691 2666    81 106 176  
3925 1693 2654    114 153 136  
3917 0 0    95 100 41  
3909 1705 2687    83 126 78  
3939 1688 2636    71 71 121  
3925 1688 2652    99 128 158  
3937 1686 2639    76 103 151  
3917 1700 2674    111 107 98  
3939 1696 2647    44 124 159  
3900 0 0    69 107 53  
3910 1667 2643    79 115 167  
3939 0 0    97 113 29  
3921 1694 2661    93 106 139  
3914 1687 2660    81 154 108  
5062 1690 1504    33 20 36  
3943 1690 2632    94 95 147  
3932 1717 2671    91 124 80  
0 1721 0    126 104 38  
3923 1675 2640    82 136 184  
3925 0 0    76 151 38  
3921 0 0    67 155 34  
3917 1761 2733    47 129 111  
